M,S,tS,L,L,tS,L,L,tL,M,S,tL,S,tS,tL,M,tS,tL,L,M,tL
S,S,tS,L,L,tS,L,M,tL,M,S,tL,S,tS,tL,S,tS,tL,L,tS,tL
S,tS,tS,M,S,tS,M,S,tL,S,S,tS,S,tS,tS,S,tS,tS,M,tS,tS
S,tS,tS,M,S,tS,M,S,tL,S,S,tS,S,tS,tS,S,tS,tL,M,tS,tL
S,tS,tS,M,tS,tS,M,tS,tS,S,tS,tS,tS,tS,tS,S,tS,tS,M,tS,tS
S,tS,tS,S,tS,tS,M,tS,tS,S,tS,tS,tS,tS,tS,tS,tS,tS,S,tS,tS
S,S,tS,M,S,tS,M,S,tL,S,S,tS,S,tS,tS,S,tS,tL,M,tS,tL
S,tS,tS,M,tS,tS,M,tS,tS,S,tS,tS,tS,tS,tS,S,tS,tS,M,tS,tS
S,tS,tS,M,S,tS,M,S,tL,S,S,tS,S,tS,tS,S,tS,tL,M,tS,tS
M,S,tS,L,L,tS,L,M,tL,M,S,tL,S,tS,tL,M,tS,tL,L,M,tL
S,S,tS,M,M,tS,L,S,tL,S,S,tL,S,tS,tS,S,tS,tL,M,tS,tL
S,tS,tS,M,tS,tS,M,tS,tS,S,tS,tS,tS,tS,tS,S,tS,tS,M,tS,tS
M,M,tL,tL,tL,tS,tL,tL,tL,L,M,tL,M,M,tL,L,M,tL,tL,tL,tL
M,M,tL,tL,tL,tS,tL,tL,tL,L,L,tL,L,M,tL,L,M,tL,tL,tL,tL
S,S,tS,L,L,tS,L,M,tL,M,S,tL,S,tS,tL,S,tS,tL,L,tS,tL
S,tS,tS,S,tS,tS,S,tS,tS,S,tS,tS,tS,tS,tS,tS,tS,tS,S,tS,tS
